"Age","Area #","Baths Full","Baths Half","Beds Total","Cooling","County","Current Price","DOM","Elementary School District","Elementary School District Code","Fireplace YN","Foundation","Garage Spaces","Heating","High School District","High School District ID","HOA Exist YN","Latitude","List Price","Listing Date","Longitude","Lot Size","Lot Size Area Min Units","MLS Number","New Construction YN","No Of Stories","Parcel Number","Parking Features","Pool YN","Postal City","Property Sub Type","Property Type","Public Remarks","Roof","Sale Date","Sale Price","Sewer Septic","Sq Ft Total","State","Status","Street Address (Full)","Table","Utilities","Walk Score","Water","Year Built","Zip Code","Zoning"
"13","17","6","2","6","Ceiling Fan, Central Forced Air, Multi-Zone","Santa Clara","$6,900,000","151","Saratoga Union Elementary","469","Yes","Concrete Perimeter and Slab","3","Central Forced Air, Fireplace, Heating - 2+ Units, Heating - 2+ Zones, Individual Room Controls, Radiant Floors, Solar","Los Gatos-Saratoga Joint Union High","476","No","37.265644","$6,900,000","11/07/2016","-122.044975","57,064","Sqft","ML81631125","No","","503-29-038","Attached, Electric Gate, Gate/Door Opener, Guest / Visitor Parking","Yes","Saratoga","Res. Single Family","Residential","Stunning 7,951+/- sf luxury estate sited on 1.31 manicured acres. Peerless valley, city light, bay, hill and mountain views.  Soaring ceilings. No-budget build! Construction completed in 2003. Fastidiously maintained since new. Dramatic entry foyer. Gracious gourmet kitchen with large island that opens to a large family/great-room. Six bedrooms and six bathrooms. Five fireplaces. Grand master suite with fireplace and opulent master bath. The grounds are amazing. Special outdoor features include breathtaking patios, outdoor BBQ area, oversized spa and an infinity edge pool. Vast views of the Bay Area/Silicon Valley. Saratoga schools!","Composition","","","Sewer - Public","7,951","California","Active","21345 SARATOGA HILLS RD ","Residential","Generator, Public","6","Public, Storage Tank","2003","95070","R140"
"77","16","5","1","5","Central Forced Air","Santa Clara","$6,900,000","4","Los Gatos Union Elementary","461","Yes","Concrete Perimeter and Slab","4","Central Forced Air","Los Gatos-Saratoga Joint Union High","476","No","37.221969","$6,900,000","04/03/2017","-121.959229","70,131","Sqft","ML81645146","No","3","532-20-001","Attached, Gate/Door Opener, Guest / Visitor Parking, Room for Oversized Vehicle","Yes","Los Gatos","Res. Single Family","Residential","This beautiful Craftsman-style estate, accentuated by majestic mature trees and the pleasant tune of a gentle stream offer balance, harmony and relaxation. A brilliantly inspired renovation brings to life a spacious and open floor plan with countless amenities, superior finishes and craftsmanship. The lovely and meticulously applied palate of colors, textures and light play together to create a warm and inviting home with elegance and beauty. Completing the appeal of the exceptional offering is its convenient location just minutes from charming downtown Los Gatos with fine dining and boutique shopping. Access to top-rated schools and easy commute access to all of Silicon Valley and San Francisco. Separate Guest Unit with 1 Bedroom 1 Full Bathroom. Sprawling Resort-like grounds with meandering paths. Sweeping lawn area for outdoor play-yard, sport court and basketball area. Spacious patios with multiple entertaining areas. Outdoor BBQ and expansive counter-top prep areas","Composition","","","Sewer - Public, Sewer Connected","7,000","California","Active","16520 S Kennedy RD ","Residential","Public","14","Public","1940","95030","S"
"11","234","4","1","5","Central Forced Air, Multi-Zone","Santa Clara","$6,750,000","30","Palo Alto Unified","481","Yes","Concrete Perimeter","2","Central Forced Air - Gas, Heating - 2+ Units","Palo Alto Unified","481","No","37.435356","$6,750,000","03/01/2017","-122.127337","14,569","Sqft","ML81640584","No","2","127-33-065","Gate/Door Opener","Yes","Palo Alto","Res. Single Family","Residential","Offering unrivaled style & classic appeal, this stunning property is set on a quiet Midtown cul-de-sac & offers an expansive 14,569+/- sf lot w/spectacular resort-like grounds. Luxurious appointments & fine craftsmanship are the hallmarks of this quality built newer custom home.  The dramatically spacious & light-filled interior spans nearly 4,700 sf over two levels & is highlighted by extensive use of rich mill work, natural stone & high ceilings.  Ideal floor plan offers a luxurious main level guest suite plus four additional upstairs bedrooms including the sumptuous master suite. Beautifully oriented to take advantage of the magnificent outdoor surroundings, multiple French doors extend the living space to the backyard oasis complete with pool, spa, sprawling expanses of lawn and flagstone patio. Adding to the appeal of this truly rare offering is its close proximity to shopping and dining, top Palo Alto schools, Henry Seale Park, vibrant downtown Palo Alto and Stanford University.","Composition, Shingle","03/29/2017","","Sewer - Public","4,659","California","Pending","780 Rosewood DR ","Residential","Public","65","Public","2006","94303","R1"
"29","293","3","2","5","Central Forced Air, Multi-Zone","San Mateo","$6,725,000","4","Menlo Park City Elementary","931","Yes","Concrete Perimeter, Crawl Space","3","Central Forced Air, Fireplace, Heating - 2+ Zones","Sequoia Union High","940","No","37.466720","$6,725,000","04/03/2017","-122.174462","46,043","Sqft","ML81645083","No","2","061-232-130","Detached, Electric Gate, Gate/Door Opener, Workshop in Garage","Yes","Atherton","Res. Single Family","Residential","This impressive colonial-style residence occupies a beautifully landscaped, private lot of over one acre in the prestigious Lindenwood area. The authentic architectural detail begins at the stately facade, which is distinguished by classic louvered shutters & a pedimented entrance. Approx. 4,675 sf w/ 3,405 sf in main house & 1,270 sf in pool house. Inside, generously sized rooms are detailed w/ hardwood floors, high ceilings, skylights, paneled wainscoting, & abundant French doors open to wrap-around lawns & multiple terraces. From the formal ambiance of the living room & dining room, to the relaxing appeal of the chef's kitchen & family room, this home achieves an ideal balance of refinement & livability. The fully equipped 1-bed, 1-bath pool house w/ large living room & fireplace, overlooks the sparkling swimming pool, spa, and exclusive grounds. With its completely modern comforts, East Coast refinement, & excellent location just minutes from upscale shopping and top-rated schools.","Other","","","Sewer Connected","4,675","California","Active","24 Edge RD ","Residential","Public","13","Public","1988","94027","R10000"
"5","221","5","0","5","Central Forced Air - Gas, Multi-Zone","Santa Clara","$6,495,000","1","Palo Alto Unified","481","Yes","Concrete Perimeter and Slab","3","Central Forced Air - Gas","Palo Alto Unified","481","No","37.386870","$6,495,000","04/06/2017","-122.144209","55,700","Sqft","ML81645618","No","1","175-53-010","Attached, Gate/Door Opener, Guest / Visitor Parking, Off-Street Parking","Yes","Los Altos Hills","Res. Single Family","Residential","Polished architecture sets the stage for this gorgeous home, while natural beauty and views provide the backdrop. Rebuilt from the ground up in 2012, the one level residence w/ 5 bedrooms, 5 baths, &  formal library. Designed to capture the sun in best light, the open collection of living, dining, and family rooms are warm and inviting. Soaring ceilings and windows, many French doors, marble flooring, Roman columns, and solid cherry wood flooring and cabinetry enhance the elegance. The chefs kitchen is top-of-the-line appliances, marble carrera counters, w/ the kitchen island and acoustics in the dining area are fantastic. One en suite bedroom & the remaining bedrooms w stone baths in private bedroom wing. VIEWS from wrap around slate terrace. Situated up a private, gated drive with a 3-car garage, the home is secluded yet just a short distance from town. Easily commute to Stanford, Palo Alto, Los Altos village, & beyond.  High-ranking Palo Alto schools, buyer to confirm attendance.","Clay, Tile","","","Sewer - Public","4,526","California","Active","26615 Anacapa DR ","Residential","Natural Gas","7","Public","2012","94022","R1"
"15","442","4","1","5","Central Forced Air","San Mateo","$6,398,000","17","Hillsborough City Elementary","925","Yes","Concrete Perimeter","3","Central Forced Air - Gas, Heating - 2+ Zones","San Mateo Union High","939","No","37.550989","$6,398,000","03/14/2017","-122.351269","25,154","Sqft","ML81642324","No","2","030-214-030","Attached, Electric Gate, Gate/Door Opener, Off-Street Parking","No","Hillsborough","Res. Single Family","Residential","Located in the prestigious community of Hillsborough, this exquisite home is a residential work of art, with every detail precisely designed to create an elegant yet comfortable environment. Stunningly landscaped grounds, winner of two notable landscape awards and featured on a San Mateo County Arboretum Society Tour, boasts an array of fruit trees, abundant roses and bulb flowers, distinctive expansive natural stone patio, exquisite flowing fountain and unparalleled privacy. Magnificent architectural details in crown moldings, high ceilings and an overall sense of grandeur and volume throughout the home.  Spacious great room opening to kitchen, five bedrooms, four and a half bathrooms and library.  Three car garage, security system and air conditioning.","Tile","03/30/2017","","Sewer - Public","5,196","California","Pending","1055 Black Mountain RD ","Residential","Public","5","Public","2002","94010","R10025"
"90","221","4","1","5","Central Forced Air","Santa Clara","$5,998,000","2","Los Altos Elementary","460","Yes","Concrete Perimeter and Slab","3","Central Forced Air - Gas","Mountain View-Los Altos Union High","477","No","37.364503","$5,998,000","04/05/2017","-122.117912","52,574","Sqft","ML81645543","No","2","175-40-006","Detached, Off-Street Parking","Yes","Los Altos Hills","Res. Single Family","Residential","This classic French Normandy estate, circa 1927, has been masterfully renovated with luxurious style.  Hallmarks include a grand turret at the entrance, leaded glass windows, and richly hued hardwood floors and millwork. The grand main residence has a library, grand living room with four sets of French doors to the gardens, sunroom lined with floor-to-ceiling windows, formal dining room, tremendous remodeled kitchen open to the family room, day office, master bedroom suite with tray ceiling and two walk-in closets, and playroom. Plus there is a large studio guest house with full kitchen. The grounds of 1.21 acres are magnificent with pool, Roman-tiled spa, covered dining terrace, barbecue kitchen with sink, refrigerator and oven, fully fenced sport court, playground, and even a custom treehouse. Topping it all off, this home is less than one mile to the Los Altos Village for shopping and dining, and has excellent Los Altos schools. The best of town and country living in Silicon Valley!","Composition, Shingle","","","Sewer - Public","5,190","California","Active","12791 Normandy LN ","Residential","Public","17","Public","1927","94022","R1"
"32","221","6","1","5","Central Forced Air - Gas","Santa Clara","$5,988,000","53","Palo Alto Unified","481","Yes","Concrete Perimeter","3","Central Forced Air - Gas, Heating - 2+ Zones","Palo Alto Unified","481","No","37.384948","$5,988,000","02/09/2017","-122.159566","84,506","Sqft","ML81638346","No","2","182-07-058","Attached, Gate/Door Opener, Guest / Visitor Parking, Workshop in Garage","Yes","Los Altos Hills","Res. Single Family","Residential","Hilltop Solitude with Panoramic Views. Well-appointed indoor and outdoor spaces take full advantage of the astonishing vistas displayed throughout this 5 bedroom, 6.5 bathroom home of 6,598 sq. ft. (per county), which includes grounds of 1.94 acres (per county). The multi-level design is equipped for grand-scale entertaining and boasts five fireplaces, two kitchens, an indoor pool, and a garage that can hold five cars. Within moments of Highway 280, this captivating home balances privacy and natural beauty with prime convenience to urban amenities, including excellent Palo Alto schools (buyer to verify eligibility).","Flat/Low Pitch","03/31/2017","","Sewer - Public, Sewer Connections - LESS than 500 feet","6,598","California","Contingent","27811 Saddle CT ","Residential","Individual Electric Meters, Individual Gas Meters, Public","0","Public","1985","94022","RA"
"63","293","4","0","5","None","San Mateo","$5,895,000","4","Menlo Park City Elementary","931","Yes","Concrete Perimeter","2","Other","Sequoia Union High","940","No","37.471208","$5,895,000","04/03/2017","-122.173493","41,125","Sqft","ML81645041","No","1","061-111-010","Attached","Yes","Atherton","Res. Single Family","Residential","Spectacular grounds surround this meticulously maintained ranch style home with clean lines, vast windows and unimaginable garden views from every window. Wonderfully designed with impressive common spaces, hardwood floors and floor to ceiling windows. 5 bedrooms including the master with vaulted ceilings and separate en-suite guest wing. Glorious living and dining room, chef kitchen with views of the backyard, family room with adjacent office space, hand crafted mill work throughout this light flooded home. In addition there is a separate structure with endless possibilities for potential home office, gym, future guest house, pool house...The captivating private grounds feature large stone patios, flowering trees and foliage, stunning majestic perimeter trees, level lawn and sparkling pool with in ground cover. Located in the heart of the coveted Lindenwood neighborhood of Atherton.","Shake","","","Sewer - Public","4,280","California","Active","175 Greenoaks DR ","Residential","Public","10","Public","1954","94027","R1001A"
"78","291","4","0","5","None","San Mateo","$5,880,000","6","Redwood City Elementary","935","Yes","Concrete Perimeter and Slab","2","Central Forced Air - Gas","Sequoia Union High","940","No","37.466260","$5,880,000","04/01/2017","-122.213207","44,030","Sqft","ML81644918","No","2","059-153-110","Attached","Yes","Atherton","Res. Single Family","Residential","ENJOY TODAY OR TRANSFORM FOR THE FUTURE This incredible property offers numerous opportunities on over one acre in sought-after central Atherton. Fine hardwood, tile floors and a granite-finished kitchen create a setting ready to move in and enjoy today or lease as an investment property while planning for the future. The spacious multi-level home has 5 bedrooms, 4 baths plus a large pool house for recreation and entertainment. The residence’s position on a beautiful corner lot with two gated entrances makes this the perfect place for creating a dream home in this most desirable community of estate properties. The close-in location puts downtown Menlo Park and Redwood City close at hand as well as proximity to numerous private schools, Stanford University, and Sand Hill Road business centers. Per the paid third party vendor, the Main house is 3250 square feet and the Pool House is 825 square feet. The County Record shows the house is 2210 square feet. Buyer to verify the square feet.","Wood Shakes/Shingles","","","Sewer - Public","4,075","California","Active","40 Selby LN ","Residential","Public","69","Public","1939","94027","R1001A"
"117","290","4","1","5","None","San Mateo","$5,845,000","7","Las Lomitas Elementary","930","Yes","Concrete Perimeter, Crawl Space, Mudsill, Quake Bracing, Wood Frame","2","Central Forced Air - Gas, Floor Furnace","Sequoia Union High","940","No","37.435852","$5,845,000","03/31/2017","-122.219440","53,893","Sqft","ML81644781","No","2","073-202-960","Attached, Gate/Door Opener","No","Atherton","Res. Single Family","Residential","Classic Contemporary Country home with a new sleek look. Updated kitchen with painted cabinets, quartz counter tops with subway backsplash and industrial lighting. Breakfast area adjoins the family room which has expansive glass to garden views and deck. Study with custom bookcases, painted mural ceiling of the world and picture windows overlooking private garden and deck. Spacious open floor plan between living and dining room ideal for entertaining. Dramatic master suite  upstairs with sitting area, fireplace and elegant marble bathroom. Four additional bedrooms upstairs and 2.5 bathrooms. Guest house with one bedroom, living area with fireplace and kitchenette. New carpet, fresh paint, refinished hardwood  floors and new contemporary lighting.  Bonus sq ft in lower level includes a office, recreation room, wine storage and workshop. Beautifully landscaped serene setting of garden rooms including lighted fountain and spa. Award winning school.","Shingle, Other","","","Sewer - Public","5,000","California","Active","399 Atherton AVE ","Residential","Individual Electric Meters, Individual Gas Meters, Public","1","Public","1900","94027","1"
"3","303","4","0","5","Central Forced Air","San Mateo","$5,795,000","11","Menlo Park City Elementary","931","Yes","Concrete Perimeter and Slab","2","Central Forced Air, Heating - 2+ Zones","Sequoia Union High","940","No","37.432796","$5,795,000","03/20/2017","-122.194694","12,000","Sqft","ML81643037","No","2","071-123-100","Attached","No","Menlo Park","Res. Single Family","Residential","Like-new construction with designer touches on huge lot in West MPs most sought after neighborhood. Elegant & beautifully proportioned w/ 9-10 foot ceilings & spacious rooms throughout. Incredible gourmet kit opens to wonderful Fam Rm w/FP. Formal entry opens to large LR w/FP & sep DR. Exquisite master ste w/luxurious bath & private balcony. Lush lawns, Connecticut Bluestone patios, covered porch. Top MP Schools","Composition","03/31/2017","","Sewer - Public","3,625","California","Pending","1890 Oakdell DR ","Residential","Public","40","Public","2014","94025","R10010"
"0","211","4","0","5","Central Forced Air, Multi-Zone","Santa Clara","$5,750,000","1","Los Altos Elementary","460","Yes","Concrete Perimeter, Concrete Perimeter and Slab","2","Central Forced Air, Central Forced Air - Gas, Heating - 2+ Units, Heating - 2+ Zones","Mountain View-Los Altos Union High","477","No","37.381105","$5,750,000","04/06/2017","-122.102789","15,600","Sqft","ML81645795","Yes","1","170-34-029","Attached","No","Los Altos","Res. Single Family","Residential","Brand New Modern Napa Farmhouse. Located in the best part of Los Altos. So close you can walk to town for dinner and stumble home! Contemporary luxury in this single-story 5 bedroom, 4 bath home with approx. 4,136 sq. ft. (per plans) on a oversized lot of 15,600 sq. ft. (per survey). To be completed 5/2017!! This board and batten exterior home is extravagantly finished with wide-plank french oak hardwood floors, Anderson Windows, a gourmet kitchen (Wolf Range, Subzero Fridge, 2 dishwashers, large Island with vegetable sink), an open great room with folding patio doors and large covered back porch. The centralized layout allows casual warmth and the best of California indoor-outdoor living.","Metal","","","Sewer Connected","4,136","California","Active","476 E Edith AVE ","Residential","Public","38","Public","2017","94022","R1"
"0","221","5","2","5","Central Forced Air","Santa Clara","$5,675,000","185","Palo Alto Unified","481","Yes","Concrete Perimeter and Slab","3","Forced Air","Palo Alto Unified","481","No","37.380056","$5,675,000","09/29/2016","-122.163018","41,042","Sqft","ML81626459","Yes","2","182-39-010","Electric Gate, Gate/Door Opener, Guest / Visitor Parking","Yes","Los Altos Hills","Res. Single Family","Residential","Attention to detail and elegant contemporary finishes exemplify this newly finished home with 5 bedrooms each with en-suite baths and 2 elegant powder rooms, open floor plan with a spacious dining/living room and family room/kitchen/nook combination opening to the outdoor California Room with fireplace; gourmet kitchen features custom wood cabinets, large island with Calcutta Gold marble slab, complimented by Caesarstone countertops and professional Thermador stainless steel appliances; exquisite Porcelanosa tiles throughout, wide plank European Oak floors, Pella Designer Series triple pane windows; Fleetwood sliding doors opening the indoor space to the thoughtfully designed outside covered patios. Flat, almost one acre property is gated and fully landscaped. An expansive and private backyard features a patio with built-in gas barbeque, and a 40 foot solar-heated swimming pool with waterfall and spa, perfect for entertaining,","Metal","04/02/2017","","Sewer Connected, Sump Pump","5,250","California","Contingent","13686 Page Mill RD ","Residential","Individual Electric Meters, Individual Gas Meters, Natural Gas","0","Irrigation Connected, Public","2016","94022","RA"
