"X..Lot.SqFt","Age","Area..","Area.Name","Baths.Full","Baths.Half","Beds.Total","County","DOM","HOA.Fee","List.Price","Listing.Date","Lot.Size","MLS.Number","Parcel.Number","Postal.City","Price.SqFt","Sale.Date","Sale.Price","Sq.Ft.Total","Status","Street.Address","Year.Built","Zip.Code","Zoning","Elementary.School","Elementary.School.District","Elementary.School.District.Code","Elementary.School.ID","Middle.School","Middle.School.ID","High.School","High.School.District","High.School.District.ID","High.School.ID","propertyAddresses","latitude","longitude","latLongConf"
"$ 49.24",18,"274","Central Woodside",4,2,3,"San Mateo",0,NA,"$7,250,000","04/12/2017","147,233","ML81646535","072-052-110","Woodside","1,563.85","","","4,636","Active","170 Josselyn Lane",1999,94062,"R1003A","","Woodside Elementary","942","","","","","Sequoia Union High","940","","170 Josselyn Lane, Woodside, CA, 94062",37.431972,-122.27585,0.878
"$ 178.50",64,"441","Brewer Subdivision/Upland",7,0,7,"San Mateo",14,NA,"$6,998,000","03/27/2017","39,204","ML81644010","032-422-060","Hillsborough","895.46","04/09/2017","","7,815","Pending","111 Baywood Avenue",1953,94010,"R10025","","Hillsborough City Elementary","925","","","","","San Mateo Union High","939","","111 Baywood Avenue, Hillsborough, CA, 94010",37.561916,-122.331041,1
"$ 167.18",65,"291","El Camino to Alameda",3,0,4,"San Mateo",2,NA,"$6,988,000","04/10/2017","41,800","ML81646095","070-060-010","Atherton","2,729.69","","","2,560","Active","147 Almendral Avenue",1952,94027,"R1001A","Selby Lane Elementary","Redwood City Elementary","935","673","","","Menlo-Atherton High","Sequoia Union High","940","658","147 Almendral Avenue, Atherton, CA, 94027",37.455855,-122.21144,0.878
"$ 786.78",80,"239","Crescent Park",3,1,5,"Santa Clara",10,NA,"$6,988,000","02/06/2017","8,850","ML81637959","003-22-034","Palo Alto","2,008.94","02/15/2017","$6,963,000","3,466","Sold","1304 Pitman Avenue",1937,94301,"R1","Duveneck Elementary","Palo Alto Unified","481","311","David Starr Jordan Middle","329","Palo Alto High","Palo Alto Unified","481","327","1304 Pitman Avenue, Palo Alto, CA, 94301",37.451879,-122.145036,1
"$ 120.92",13,"17","Saratoga",6,2,6,"Santa Clara",153,NA,"$6,900,000","11/07/2016","57,064","ML81631125","503-29-038","Saratoga","867.82","04/08/2017","","7,951","Contingent","21345 SARATOGA HILLS Road",2003,95070,"R140","","Saratoga Union Elementary","469","","","","","Los Gatos-Saratoga Joint Union High","476","","21345 SARATOGA HILLS Road, Saratoga, CA, 95070",37.265389,-122.041554,1
"$ 569.89",4,"303","Central Menlo",4,1,4,"San Mateo",17,NA,"$6,495,000","03/23/2017","11,397","ML81643607","071-362-030","Menlo Park","1,631.50","04/08/2017","","3,981","Pending","1440 Bay Laurel Drive",2013,94025,"R1","Oak Knoll Elementary","Menlo Park City Elementary","931","663","Hillview Middle","642","Menlo-Atherton High","Sequoia Union High","940","658","1440 Bay Laurel Drive, Menlo Park, CA, 94025",37.437239,-122.184282,1
"$ 116.61",5,"221","Los Altos Hills",5,0,5,"Santa Clara",6,NA,"$6,495,000","04/06/2017","55,700","ML81645618","175-53-010","Los Altos Hills","1,435.04","","","4,526","Active","26615 Anacapa Drive",2012,94022,"R1","Lucille M. Nixon Elementary","Palo Alto Unified","481","318","Terman Middle","323","Henry M. Gunn High","Palo Alto Unified","481","325","26615 Anacapa Drive, Los Altos Hills, CA, 94022",37.385634,-122.143878,1
"$ 112.74",29,"17","Saratoga",4,1,5,"Santa Clara",48,NA,"$6,188,000","02/20/2017","54,885","ML81639526","510-52-005","Saratoga","1,176.65","04/07/2017","","5,259","Pending","15387 HUME Drive",1988,95070,"R140","","Saratoga Union Elementary","469","","","","","Los Gatos-Saratoga Joint Union High","476","","15387 HUME Drive, Saratoga, CA, 95070",37.244639,-122.02092,1
"$ 114.09",90,"221","Los Altos Hills",4,1,5,"Santa Clara",7,NA,"$5,998,000","04/05/2017","52,574","ML81645543","175-40-006","Los Altos Hills","1,155.68","","","5,190","Active","12791 Normandy Lane",1927,94022,"R1","Gardner Bullis Elementary","Los Altos Elementary","460","1,079","Ardis G. Egan Intermediate","133","Los Altos High","Mountain View-Los Altos Union High","477","265","12791 Normandy Lane, Los Altos Hills, CA, 94022",37.364058,-122.118353,1
"$ 613.96",2,"238","Green Gables",5,0,5,"Santa Clara",0,NA,"$5,699,000","04/11/2017","9,626","ML81646302","003-13-005","Palo Alto","1,656.85","04/11/2017","$5,910,000","3,567","Sold","555 Madison Way",2015,94303,"R1","Duveneck Elementary","Palo Alto Unified","481","311","David Starr Jordan Middle","329","Palo Alto High","Palo Alto Unified","481","327","555 Madison Way, Palo Alto, CA, 94303",37.452369,-122.135056,0.878
"$ 161.00",99,"441","Brewer Subdivision/Upland",5,1,7,"San Mateo",2,NA,"$5,800,000","04/10/2017","36,024","ML81646083","031-213-100","Hillsborough","1,000.00","","","5,800","Active","525 El Cerrito Avenue",1918,94010,"R10025","South Hillsborough","Hillsborough City Elementary","925","681","Crocker Middle","625","","San Mateo Union High","939","","525 El Cerrito Avenue, Hillsborough, CA, 94010",37.557857,-122.342344,1
"$ 368.59",0,"211","North Los Altos",4,0,5,"Santa Clara",6,NA,"$5,750,000","04/06/2017","15,600","ML81645795","170-34-029","Los Altos","1,390.23","","","4,136","Active","476 E Edith Avenue",2017,94022,"R1","Almond Elementary","Los Altos Elementary","460","128","Ardis G. Egan Intermediate","133","Los Altos High","Mountain View-Los Altos Union High","477","265","476 E Edith Avenue, Los Altos, CA, 94022",37.381305,-122.102716,1
"$ 251.66",52,"448","Homeplace",4,1,5,"San Mateo",0,NA,"$5,650,000","04/12/2017","22,650","ML81646477","031-351-090","Hillsborough","1,357.14","04/12/2017","$5,700,000","4,200","Sold","25 Conifer Lane",1965,94010,"R10025","North Hillsborough","Hillsborough City Elementary","925","685","Crocker Middle","625","","San Mateo Union High","939","","25 Conifer Lane, Hillsborough, CA, 94010",37.567194,-122.357807,1
"$ 197.96",116,"439","San Mateo Park / El Cerrito Park",7,1,9,"San Mateo",5,NA,"$5,250,000","04/07/2017","26,520","ML81645847","032-091-120","San Mateo","755.94","","","6,945","Active","146 W Bellevue Avenue",1901,94402,"R1000A","","San Mateo-Foster City Elementary","938","","","","","San Mateo Union High","939","","146 W Bellevue Avenue, San Mateo, CA, 94402",37.568997,-122.34098,1
"$ 1,574.24",132,"999","Other Area",3,1,4,"San Francisco",2,NA,"$5,195,000","04/10/2017","3,300","ML81646156","0839-017","San Francisco","5,195,000.00","","","1","Active","294 Page Street",1885,94102,"RM2","","San Francisco Unified","1,863","","","","","San Francisco Unified","1,863","","294 Page Street, San Francisco, CA, 94102",37.773749,-122.425315,1
"$ 444.45",8,"302","County / Alameda Area",4,1,5,"San Mateo",35,NA,"$4,998,000","02/02/2017","11,261","ML81637542","070-260-330","Menlo Park","1,194.51","03/07/2017","$5,005,000","4,190","Sold","1982 Camino A Los Cerros",2009,94025,"R1","","Las Lomitas Elementary","930","","","","","Sequoia Union High","940","","1982 Camino A Los Cerros, Menlo Park, CA, 94025",37.437764,-122.208914,1
"$ 22.95",33,"273","Skyline Area",4,1,5,"San Mateo",76,NA,"$4,998,000","01/26/2017","217,800","ML81636853","075-321-160","Woodside","684.66","","","7,300","Active","22 Starwood Drive",1984,94062,"RM0000","Ormondale Elementary","Portola Valley Elementary","933","664","Corte Madera Elementary","623","Woodside High","Sequoia Union High","940","684","22 Starwood Drive, Woodside, CA, 94062",37.380944,-122.266745,1
"$ 505.46",0,"233","South Palo Alto",3,1,4,"Santa Clara",6,NA,"$4,998,000","04/06/2017","9,888","ML81645679","127-28-022","Palo Alto","1,525.64","","","3,276","Active","2797 Ross Road",2017,94303,"R1","Palo Verde Elementary","Palo Alto Unified","481","320","Jane Lathrop Stanford Middle","322","Palo Alto High","Palo Alto Unified","481","327","2797 Ross Road, Palo Alto, CA, 94303",37.43489,-122.125394,1
"$ 32.11",20,"17","Saratoga",5,2,5,"Santa Clara",254,NA,"$4,895,000","02/06/2017","152,460","ML81637973","517-22-118","Saratoga","878.97","","","5,569","Canceled","15195 PIEDMONT Road",1997,95070,"R140","Foothill Elementary","Saratoga Union Elementary","469","197","Redwood Middle","198","Saratoga High","Los Gatos-Saratoga Joint Union High","476","264","15195 PIEDMONT Road, Saratoga, CA, 95070",37.24756,-122.02509,0.878
"$ 83.86",0,"651","Linda Mar",4,1,5,"San Mateo",186,300,"$4,895,000","04/04/2017","58,370","ML81645239","022-150-540","Pacifica","1,138.37","","","4,300","Canceled","1000 HARMONY COURT Avenue",2017,94044,"RES","","Pacifica","928","","","","","Cabrillo Unified","924","","1000 HARMONY COURT Avenue, Pacifica, CA, 94044",37.477862,-122.181693,0.561
"$ 31.57",20,"17","Saratoga",5,1,5,"Santa Clara",260,NA,"$4,895,000","04/06/2017","155,074","ML81645615","517-22-118","Saratoga","878.97","","","5,569","Active","15195 PIEDMONT Road",1997,95070,"R140","","Saratoga Union Elementary","469","","","","Saratoga High","Los Gatos-Saratoga Joint Union High","476","264","15195 PIEDMONT Road, Saratoga, CA, 95070",37.24756,-122.02509,0.878
"$ 94.00",19,"263","Central Portola Valley",3,1,4,"San Mateo",3,NA,"$4,750,000","04/09/2017","50,530","ML81646065","077-221-050","Portola Valley","1,009.56","","","4,705","Active","2 Sierra Lane",1998,94028,"R1001A","Ormondale Elementary","Portola Valley Elementary","933","664","Corte Madera Elementary","623","Sequoia High","Sequoia Union High","940","674","2 Sierra Lane, Portola Valley, CA, 94028",37.385734,-122.207523,1
"$ 430.76",16,"211","North Los Altos",4,0,5,"Santa Clara",21,NA,"$4,888,000","03/01/2017","10,853","ML81639902","170-26-072","Los Altos","1,138.02","03/22/2017","$4,675,000","4,108","Sold","280 Valley Street",2001,94022,"R1","Almond Elementary","Los Altos Elementary","460","128","Ardis G. Egan Intermediate","133","Los Altos High","Mountain View-Los Altos Union High","477","265","280 Valley Street, Los Altos, CA, 94022",37.378575,-122.107823,1
"$ 64.14",15,"16","Los Gatos/Monte Sereno",4,1,5,"Santa Clara",182,NA,"$4,498,000","04/12/2016","70,132","ML81579690","537-22-018","Los Gatos","803.50","","","5,598","Active","230 Forrester Road",2001,95032,"R1","","Los Gatos Union Elementary","461","","","","","Los Gatos-Saratoga Joint Union High","476","","230 Forrester Road, Los Gatos, CA, 95032",37.219609,-121.950574,1
"$ 624.72",85,"239","Crescent Park",3,0,4,"Santa Clara",7,NA,"$3,998,000","03/08/2017","7,200","ML81641543","003-23-039","Palo Alto","1,845.71","03/15/2017","$4,498,000","2,437","Sold","1437 Dana Avenue",1932,94301,"R1","Duveneck Elementary","Palo Alto Unified","481","311","David Starr Jordan Middle","329","Palo Alto High","Palo Alto Unified","481","327","1437 Dana Avenue, Palo Alto, CA, 94301",37.452879,-122.141201,1
"$ 416.48",0,"211","North Los Altos",5,1,5,"Santa Clara",0,NA,"$4,498,000","04/12/2017","10,800","ML81646454","170-17-025","Los Altos","1,212.07","","","3,711","Active","498 Los Ninos Way",2017,94022,"R1","","Los Altos Elementary","460","","","","","Mountain View-Los Altos Union High","477","","498 Los Ninos Way, Los Altos, CA, 94022",37.390375,-122.108775,1
"$ 356.75",7,"303","Central Menlo",4,0,5,"San Mateo",43,NA,"$4,495,000","02/23/2017","12,600","ML81639987","071-214-110","Menlo Park","1,379.26","04/04/2017","","3,259","Pending","1040 Hermosa Way",2010,94025,"R1","Oak Knoll Elementary","Menlo Park City Elementary","931","663","Hillview Middle","642","Menlo-Atherton High","Sequoia Union High","940","658","1040 Hermosa Way, Menlo Park, CA, 94025",37.442784,-122.190957,1
"$ 73.36",27,"221","Los Altos Hills",6,0,5,"Santa Clara",232,NA,"$4,250,000","08/16/2016","57,935","ML81600288","182-20-057","Los Altos Hills","797.97","","","5,326","Canceled","27210 Carrington Circle",1989,94022,"RA","Lucille M. Nixon Elementary","Palo Alto Unified","481","318","Terman Middle","323","Henry M. Gunn High","Palo Alto Unified","481","325","27210 Carrington Circle, Los Altos Hills, CA, 94022",37.365093,-122.155633,1
"$ 93.45",51,"221","Los Altos Hills",3,1,4,"Santa Clara",232,NA,"$4,198,000","08/04/2016","44,923","ML81598473","175-53-033","Los Altos Hills","1,104.74","","","3,800","Canceled","26450 Ascension Drive",1965,94022,"R1","","Palo Alto Unified","481","","","","","Palo Alto Unified","481","","26450 Ascension Drive, Los Altos Hills, CA, 94022",37.38271,-122.142642,0.878
"$ 527.55",3,"232","Barron Park",3,1,5,"Santa Clara",67,NA,"$4,098,000","02/02/2017","7,768","ML81637537","137-14-122","Palo Alto","1,435.38","04/07/2017","","2,855","Pending","818 Los Robles Avenue",2014,94306,"R1","Barron Park Elementary","Palo Alto Unified","481","310","Terman Middle","323","Henry M. Gunn High","Palo Alto Unified","481","325","818 Los Robles Avenue, Palo Alto, CA, 94306",37.410526,-122.132471,1
"$ 366.12",0,"439","San Mateo Park / El Cerrito Park",4,1,5,"San Mateo",12,NA,"$3,998,000","03/31/2017","10,920","ML81644888","031-092-060","San Mateo","1,059.07","04/11/2017","","3,775","Pending","376 Glendale Road",2017,94402,"R10010","","San Mateo-Foster City Elementary","938","","","","San Mateo High","San Mateo Union High","939","672","376 Glendale Road, San Mateo, CA, 94402",37.562253,-122.350941,1
"$ 604.24",81,"237","Old Palo Alto",3,1,4,"Santa Clara",9,NA,"$3,988,000","03/29/2017","6,600","ML81644314","124-04-059","Palo Alto","1,777.18","04/07/2017","","2,244","Pending","2151 Byron Street",1936,94301,"R1","Walter Hays Elementary","Palo Alto Unified","481","315","David Starr Jordan Middle","329","Palo Alto High","Palo Alto Unified","481","327","2151 Byron Street, Palo Alto, CA, 94301",37.437229,-122.136894,1
"$ 625.98",0,"238","Green Gables",4,1,4,"Santa Clara",6,NA,"$3,980,000","04/06/2017","6,358","ML81645655","003-49-080","Palo Alto","1,411.35","","","2,820","Active","2368 Santa Ana Street",2017,94303,"R1","Duveneck Elementary","Palo Alto Unified","481","311","David Starr Jordan Middle","329","Palo Alto High","Palo Alto Unified","481","327","2368 Santa Ana Street, Palo Alto, CA, 94303",37.444097,-122.125753,1
"$ 74.61",30,"221","Los Altos Hills",3,1,4,"Santa Clara",16,NA,"$3,988,000","02/22/2017","52,272","ML81639762","182-18-032","Los Altos Hills","1,118.12","03/10/2017","$3,900,000","3,488","Sold","13500 Country Way",1987,94022,"LH","","Palo Alto Unified","481","","","","","Palo Alto Unified","481","","13500 Country Way, Los Altos Hills, CA, 94022",37.375796,-122.163689,1
"$ 139.69",14,"337","Clifford Heights Etc.",4,1,5,"San Mateo",20,90,"$3,900,000","03/23/2017","27,918","ML81643609","051-040-300","Redwood City","748.56","","","5,210","Active","5 Belle Roche Avenue",2003,94062,"R10000","","Redwood City Elementary","935","","","","","Sequoia Union High","940","","5 Belle Roche Avenue, Redwood City, CA, 94062",37.479817,-122.262181,0.878
"$ 366.01",10,"16","Los Gatos/Monte Sereno",4,0,5,"Santa Clara",1,NA,"$3,898,000","04/11/2017","10,650","ML81646281","532-04-065","Los Gatos","850.53","","","4,583","Active","16439 Hilow Road",2007,95032,"R1-8","Blossom Hill Elementary","Los Gatos Union Elementary","461","139","Raymond J. Fisher Middle","141","Los Gatos High","Los Gatos-Saratoga Joint Union High","476","262","16439 Hilow Road, Los Gatos, CA, 95032",37.229725,-121.957842,1
"$ 87.51",58,"221","Los Altos Hills",4,1,4,"Santa Clara",28,NA,"$3,850,000","03/15/2017","43,995","ML81642487","175-54-028","Los Altos Hills","1,060.90","","","3,629","Active","12800 Camino Medio Lane",1959,94022,"R1","Lucille M. Nixon Elementary","Palo Alto Unified","481","318","Terman Middle","323","Henry M. Gunn High","Palo Alto Unified","481","325","12800 Camino Medio Lane, Los Altos Hills, CA, 94022",37.394379,-122.12503,0.634
"$ 229.17",30,"211","North Los Altos",3,0,4,"Santa Clara",7,NA,"$3,798,000","03/23/2017","16,800","ML81643596","170-36-051","Los Altos","1,100.00","03/30/2017","$3,850,000","3,500","Sold","395 S Gordon Way",1987,94022,"R110","Covington Elementary","Los Altos Elementary","460","130","Ardis G. Egan Intermediate","133","Los Altos High","Mountain View-Los Altos Union High","477","265","395 S Gordon Way, Los Altos, CA, 94022",37.376337,-122.106951,1
"$ 65.10",58,"263","Central Portola Valley",3,0,5,"San Mateo",226,NA,"$3,828,000","08/29/2016","58,806","ML81612044","079-121-170","Portola Valley","887.55","","","4,313","Active","20 Cordova Court",1958,94028,"R1001A","","Portola Valley Elementary","933","","","","","Sequoia Union High","940","","20 Cordova Court, Portola Valley, CA, 94028",37.380457,-122.199148,1
"$ 170.02",55,"445","Lakeview",5,0,6,"San Mateo",165,NA,"$3,980,000","09/08/2016","22,351","ML81613364","038-031-080","Hillsborough","764.28","02/22/2017","$3,800,000","4,972","Sold","1505 Black Mountain Road",1961,94010,"R10025","","Hillsborough City Elementary","925","","Crocker Middle","625","","San Mateo Union High","939","","1505 Black Mountain Road, Hillsborough, CA, 94010",37.544118,-122.358012,1
"$ 252.95",75,"214","South of El Monte",4,0,5,"Santa Clara",8,NA,"$3,798,000","03/30/2017","15,015","ML81644510","193-40-017","Los Altos","1,147.43","04/06/2017","","3,310","Pending","1030 Rosemont Avenue",1942,94024,"REBD","Oak Avenue Elementary","Los Altos Elementary","460","135","Georgina P. Blach Intermediate","129","Mountain View High","Mountain View-Los Altos Union High","477","266","1030 Rosemont Avenue, Los Altos, CA, 94024",37.353344,-122.084123,1
"$ 158.40",15,"15","Campbell",5,1,6,"Santa Clara",55,NA,"$3,795,000","02/16/2017","23,958","ML81639126","412-26-009","Campbell","606.52","","","6,257","Active","921 Dry Creek Road",2002,95008,"R18A","","Cambrian Elementary","453","","","","","Campbell Union High","473","","921 Dry Creek Road, Campbell, CA, 95008",37.28018,-121.931642,0.816
"$ 78.02",49,"263","Central Portola Valley",3,0,3,"San Mateo",28,NA,"$3,795,000","03/06/2017","48,643","ML81641170","079-141-040","Portola Valley","1,228.16","04/03/2017","","3,090","Pending","155 Willowbrook Drive",1968,94028,"R1001A","Ormondale Elementary","Portola Valley Elementary","933","664","Corte Madera Elementary","623","Woodside High","Sequoia Union High","940","684","155 Willowbrook Drive, Portola Valley, CA, 94028",37.36652,-122.215602,1
"$ 151.84",27,"446","Carolands Etc.",5,1,5,"San Mateo",73,NA,"$3,790,000","01/13/2017","24,960","ML81635542","030-280-010","Hillsborough","603.50","","","6,280","Active","1425 San Raymundo Road",1990,94010,"R10000","","Hillsborough City Elementary","925","","","","","San Mateo Union High","939","","1425 San Raymundo Road, Hillsborough, CA, 94010",37.553522,-122.359676,1
"$ 373.50",66,"303","Central Menlo",3,0,4,"San Mateo",4,NA,"$3,495,000","03/27/2017","10,044","ML81644027","071-043-140","Menlo Park","1,515.72","03/29/2017","$3,751,406","2,475","Sold","1120 Hobart Street",1951,94025,"R10010","","Menlo Park City Elementary","931","","","","","Sequoia Union High","940","","1120 Hobart Street, Menlo Park, CA, 94025",37.44156,-122.193206,1
"$ 155.36",63,"446","Carolands Etc.",4,0,4,"San Mateo",48,NA,"$3,750,000","02/17/2017","24,138","ML81639273","030-022-070","Hillsborough","1,045.44","","","3,587","Canceled","660 Pullman Road",1954,94010,"R10025","West Hillsborough","Hillsborough City Elementary","925","679","Crocker Middle","625","Burlingame High","San Mateo Union High","939","615","660 Pullman Road, Hillsborough, CA, 94010",37.555498,-122.37491,1
"$ 80.90",57,"17","Saratoga",4,1,5,"Santa Clara",41,NA,"$3,699,999","03/29/2017","45,738","ML81644375","503-16-014","Saratoga","750.51","","","4,930","Active","13570 Surrey Lane",1960,95070,"R140","","Saratoga Union Elementary","469","","Redwood Middle","198","","Los Gatos-Saratoga Joint Union High","476","","13570 Surrey Lane, Saratoga, CA, 95070",37.273414,-122.03816,0.878
"$ 305.54",97,"211","North Los Altos",4,0,5,"Santa Clara",59,NA,"$3,698,000","02/07/2017","12,103","ML81638033","170-28-051","Los Altos","1,157.07","","","3,196","Withdrawn","331 Hawthorne Avenue",1920,94022,"R1","","Los Altos Elementary","460","","Ardis G. Egan Intermediate","133","Los Altos High","Mountain View-Los Altos Union High","477","265","331 Hawthorne Avenue, Los Altos, CA, 94022",37.377765,-122.106694,1
"$ 259.74",5,"214","South of El Monte",4,0,5,"Santa Clara",24,NA,"$3,698,000","02/02/2017","13,860","ML81637528","189-54-052","Los Altos","1,106.33","02/24/2017","$3,600,000","3,254","Sold","62 S Clark Avenue",2012,94024,"R110","Almond Elementary","Los Altos Elementary","460","128","Ardis G. Egan Intermediate","133","Los Altos High","Mountain View-Los Altos Union High","477","265","62 S Clark Avenue, Los Altos, CA, 94024",37.38096,-122.10051,1
"$ 59.67",66,"16","Los Gatos/Monte Sereno",3,0,3,"Santa Clara",7,NA,"$3,600,000","04/05/2017","60,331","ML81645571","410-33-015","Monte Sereno","825.12","","","4,363","Active","18364 Oak Drive",1951,95030,"R1","","Saratoga Union Elementary","469","","","","Saratoga High","Los Gatos-Saratoga Joint Union High","476","264","18364 Oak Drive, Monte Sereno, CA, 95030",37.243108,-121.993202,0.878
"$ 293.75",44,"211","North Los Altos",3,0,4,"Santa Clara",9,NA,"$2,988,000","03/01/2017","11,915","ML81640585","170-03-057","Los Altos","1,200.27","03/08/2017","$3,500,000","2,916","Sold","294 Marich Way",1973,94022,"R1","Almond Elementary","Los Altos Elementary","460","128","Ardis G. Egan Intermediate","133","Los Altos High","Mountain View-Los Altos Union High","477","265","294 Marich Way, Los Altos, CA, 94022",37.39581,-122.107621,1
"$ 141.19",33,"18","Cupertino",3,1,5,"Santa Clara",7,NA,"$3,500,000","04/05/2017","24,790","ML81645442","366-38-001","Cupertino","753.99","","","4,642","Active","21710 Rainbow Drive",1984,95014,"R1","William Regnart Elementary","Cupertino Union","455","97","John F. Kennedy Middle","84","Monta Vista High","Fremont Union High","475","260","21710 Rainbow Drive, Cupertino, CA, 95014",37.299199,-122.054904,1
"$ 282.59",0,"16","Los Gatos/Monte Sereno",4,1,5,"Santa Clara",7,NA,"$3,499,000","03/31/2017","12,382","ML81644848","532-36-080","Los Gatos","1,076.62","04/07/2017","","3,250","Pending","115 Yosemite Way",2017,95030,"R18","","Los Gatos Union Elementary","461","","","","","Los Gatos-Saratoga Joint Union High","476","","115 Yosemite Way, Los Gatos, CA, 95030",37.224023,-121.968352,1
"$ 132.12",96,"16","Los Gatos/Monte Sereno",3,1,4,"Santa Clara",60,NA,"$3,488,000","02/06/2017","26,400","ML81637951","397-08-009","Monte Sereno","696.21","04/07/2017","","5,010","Contingent","15561 Quito Road",1921,95030,"R140","","Saratoga Union Elementary","469","","Redwood Middle","198","","Los Gatos-Saratoga Joint Union High","476","","15561 Quito Road, Monte Sereno, CA, 95030",37.241914,-121.99822,1
"$ 468.25",3,"232","Barron Park",3,0,5,"Santa Clara",21,NA,"$3,480,000","03/16/2017","7,432","ML81642541","137-15-047","Palo Alto","1,335.38","04/03/2017","","2,606","Contingent","861 Chimalus Drive",2014,94306,"R1","Barron Park Elementary","Palo Alto Unified","481","310","Terman Middle","323","Henry M. Gunn High","Palo Alto Unified","481","325","861 Chimalus Drive, Palo Alto, CA, 94306",37.413806,-122.139981,1
