"Street.Address","Postal.City","lotSqFt","list.Price.Num","projectedHouseSizeSqFt","breakEvenBuildCost","profitPercentOfInvestment"
"6034 Countess Drive","San Jose","  7490"," 1500000"," 2843.741","385.6313","0.174451163"
"2361 Fruitdale Avenue","San Jose","  8100","  685000"," 2495.100","384.7369","0.256867682"
"755 Lakewood Drive","Sunnyvale","  5512","  849900"," 1884.102","384.5918","0.191975001"
"1533 Topar Avenue","Los Altos"," 14100"," 2495000"," 4295.000","383.5419","0.160717969"
"579 Mariposa Avenue","Mountain View","  4750"," 1200000"," 1787.259","379.4282","0.140466137"
"15545 Swiss Creek Lane","Cupertino","435164"," 1649999"," 3090.800","379.2635","0.164910124"
"1065 Deanna Drive","Menlo Park"," 10050"," 2498000"," 3852.735","374.3718","0.138441503"
"5021 Lassen Avenue","San Jose","  6798"," 1395000"," 2581.008","372.6190","0.155118412"
"752 S El Monte Avenue","Los Altos","  9375"," 2395000"," 2894.946","371.9275","0.113178351"
"295 Atherton Avenue","Atherton"," 87120","12800000","12024.000","366.2983","0.088470884"
"4598 Elmhurst Drive","San Jose","  6000"," 1248000"," 2278.030","365.2637","0.144469429"
"4675 Borina Drive","San Jose","  6000"," 1250000"," 2278.030","364.3858","0.143211430"
"710 Lakebird Drive","Sunnyvale","  5720","  928000"," 1955.200","361.0503","0.153250703"
"20375 Clifden Way","Cupertino","  7700"," 1628000"," 2923.472","356.2334","0.131660746"
"1124 Pecos Way","Sunnyvale","  5775","  949000"," 1974.000","354.9323","0.143595438"
"1089 Del Cambre Drive","San Jose","  6000"," 1278000"," 2278.030","352.0945","0.125885427"
"687 Florales Drive","Palo Alto","  8235"," 2588000"," 2743.400","348.9295","0.082900343"
"640 San Diego Avenue","Sunnyvale","  6850"," 1088000"," 2221.000","345.8126","0.129499402"
"1785 Croner Avenue","Menlo Park","  8778"," 2500000"," 3334.000","343.4324","0.093446427"
"328 Jardin","Los Altos","  6425"," 1698000"," 1984.003","343.3859","0.084447467"
"1058 Montgomery Street","San Carlos","  5000","  849000"," 1661.998","336.5023","0.113694560"
"2613 Monserat Avenue","Belmont","  5350"," 1050000"," 2328.341","333.3348","0.118885838"
"10740 Randy Lane","Cupertino","  8520"," 1799999"," 3090.800","330.7324","0.096990589"
"654 Willis Avenue","San Jose","  5800","  695000"," 2421.047","327.1709","0.143689758"
"219 Carmelita Drive","Mountain View"," 10799"," 1999000"," 3162.000","326.3485","0.086543782"
"1564 Camino Monde","San Jose","  7200","  875000"," 2988.000","321.3988","0.131528687"
"14720 Vickery Place","Saratoga"," 20670"," 2500000"," 4800.000","318.6823","0.089101390"
"3133 Emerson Street","Palo Alto","  7332"," 2298000"," 2391.500","316.2667","0.054724985"
"35 Sugar Hill Drive","Hillsborough"," 30750"," 3890000"," 6440.664","315.5165","0.076719491"
"1106 76th Avenue","Oakland","  4185","  310000"," 1716.694","313.0600","0.146453694"
"4399 Pescadero Creek Road","Pescadero","161172"," 1499000"," 3432.000","310.8755","0.088640096"
"2539 Moraine Drive","Santa Clara","  5300","  649000"," 1677.827","310.4976","0.095001102"
"113 Oakview Drive","San Carlos","  7500"," 1550000"," 2420.800","309.7349","0.067096449"
"534 Hemlock Avenue","Millbrae","  5400","  958888"," 1968.000","309.2879","0.080418796"
"19702 SAINT ANN Court","Saratoga"," 17820"," 2488888"," 4692.157","309.0798","0.075701079"
"1020 Rio Vista Drive","Pacifica","  5460","  625000"," 1707.752","304.6948","0.088793434"
"344 Jerome Street","San Jose","  5400","  699999"," 2254.078","303.6890","0.095779467"
"19640 Redberry Drive","Los Gatos"," 97138"," 2580000"," 4800.000","302.0157","0.066051625"
"19750 Littlebrook Drive","Los Gatos"," 82328"," 2588000"," 4800.000","300.3490","0.063800196"
"4604 Winding Way","San Jose","  6000"," 1398888"," 2278.030","299.0276","0.056739751"
"3305 Cadillac Drive","San Jose","  7630","  899000"," 2495.100","298.9688","0.080236411"
"1389 Munro Avenue","Campbell","  7380","  895000"," 2482.733","298.7852","0.079911566"
"2908 E 16th Street","Oakland","  5616","  449000"," 2303.692","298.7352","0.109540705"
"133 Madera Avenue","San Carlos","  7095"," 1550000"," 3080.877","296.7359","0.062057752"
"863 Ironwood Drive","San Jose","  6000","  799500"," 2504.531","295.0154","0.079082333"
"20637 Craig Court","Cupertino","  7980"," 1888000"," 3029.780","289.9579","0.045763106"
"560 Wurr Road","Loma Mar"," 98707","  899000"," 1952.500","287.2117","0.052378756"
"152 Miriam Street","Daly City","  3750","  625000"," 2280.000","287.0841","0.070754581"
"227 Plaza La Posada","Los Gatos"," 10070"," 1778000"," 3445.822","287.0248","0.048336065"
"85 Mccormick Lane","Atherton"," 40946"," 3995000"," 5390.400","285.9241","0.036245461"
"585 Maple Avenue","Sunnyvale","  5184","  975000"," 1771.985","285.4518","0.044302032"
"300 Baltimore Way","San Francisco","  2997","  780000"," 2440.000","281.8600","0.055926908"
"13855 Saratoga Avenue","Saratoga"," 13600"," 1999000"," 3580.995","281.2909","0.038715617"
"146 E Portola Avenue","Los Altos"," 11640"," 3300000"," 3594.364","281.1276","0.026647945"
"74 Barry Lane","Atherton"," 44132","13495000","11735.714","280.9271","0.022092260"
"1040 Hermosa Way","Menlo Park"," 12600"," 4495000"," 4869.600","278.3162","0.024138499"
"1508 Winding Way","Belmont","  6624"," 1349000"," 2653.385","276.9892","0.035586667"
"4120 Mackay Drive","Palo Alto"," 10350"," 2398000"," 2391.500","274.4519","0.019519077"
"27596 La Porte Avenue","Hayward","  5800","  525000"," 2379.169","272.9744","0.048812626"
"1019 SEPTEMBER Drive","Cupertino","  7168"," 1750000"," 2721.486","270.0746","0.022479166"
"660 Pullman Road","Hillsborough"," 24138"," 3750000"," 5264.234","269.5776","0.020343431"
"27510 E 10th Street","Hayward","  6640","  600000"," 2674.600","269.3071","0.040703658"
"27210 Carrington Circle","Los Altos Hills"," 57935"," 4250000"," 5698.600","268.2673","0.018344359"
"1484 Walbrook Drive","San Jose"," 13534"," 1998000"," 3090.800","266.6710","0.018596958"
"14020 Arcadia Palms Drive","Saratoga"," 43560"," 2750000"," 4800.000","266.5990","0.020170922"
"20867 Verde Moor Court","Saratoga"," 15748"," 2380000"," 4146.582","265.5489","0.018870779"
"30 Mountain View Place","San Mateo"," 11000"," 1748000"," 2836.000","265.1058","0.017435897"
"1411 Kavanaugh Drive","East Palo Alto","  5500","  825000"," 2440.000","263.4174","0.022814217"
"145 Henrik Ibsen Park Road","Woodside","200376"," 1598000"," 3953.600","262.9271","0.019760520"
"733 Laurie Avenue","Santa Clara","  6500","  858000"," 1974.400","262.7450","0.018617696"
"115 Chukker Court","San Mateo","  5580"," 1150000"," 2259.760","262.5824","0.016579750"
"417 College Avenue","Palo Alto","  6650"," 3398000"," 3355.000","262.2951","0.009736237"
"88 Nueva Avenue","San Francisco","  3027","  828000"," 2440.000","262.1879","0.020680390"
"369 Jerome Street","San Jose","  5400","  799000"," 2254.078","259.7681","0.016159863"
"3495 Meridian Avenue","San Jose","  6633","  765000"," 2129.000","257.4503","0.012227222"
"132 Abelia Way","East Palo Alto","  5000","  599999"," 1675.158","256.6130","0.010873480"
"89 Muirwood Drive","Daly City","  3145","  699000"," 2280.000","254.6279","0.008314991"
"603 Bernal Avenue","Sunnyvale","  6032"," 1199999"," 2061.847","253.6802","0.004423297"
"1041 Cherry Street","San Carlos","  5000","  988000"," 1661.998","252.8681","0.003396303"
